ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159941.SZ,20260109,1.422,1.417,1.422,1.413,1.418,-0.004,-0.2813,5266020.49,746347.88
159941.SZ,20260108,1.427,1.425,1.427,1.418,1.422,-0.005,-0.3504,3274869.0,465726.764
159941.SZ,20260107,1.43,1.435,1.435,1.426,1.427,-0.003,-0.2098,4439971.31,634400.685
159941.SZ,20260106,1.43,1.428,1.432,1.423,1.43,0.0,0.0,5720661.06,816795.631
159941.SZ,20260105,1.413,1.416,1.431,1.416,1.43,0.017,1.2031,7080570.28,1009513.0
159941.SZ,20251231,1.42,1.412,1.415,1.408,1.413,-0.007,-0.493,4172327.3,588734.629
159941.SZ,20251230,1.416,1.409,1.42,1.404,1.42,0.004,0.2825,4577894.0,645200.31
159941.SZ,20251229,1.424,1.42,1.42,1.41,1.416,-0.008,-0.5618,4366590.0,616983.832
159941.SZ,20251226,1.426,1.429,1.431,1.424,1.424,-0.002,-0.1403,3786050.34,540685.178
159941.SZ,20251225,1.432,1.432,1.432,1.424,1.426,-0.006,-0.419,4814571.0,687041.764
159941.SZ,20251224,1.435,1.44,1.441,1.431,1.432,-0.003,-0.2091,3187573.62,457551.215
159941.SZ,20251223,1.441,1.441,1.442,1.434,1.435,-0.006,-0.4164,4984141.21,716156.881
159941.SZ,20251222,1.414,1.438,1.441,1.436,1.441,0.027,1.9095,5465233.79,786454.282
159941.SZ,20251219,1.395,1.41,1.416,1.407,1.414,0.019,1.362,6006388.13,847712.219
159941.SZ,20251218,1.407,1.388,1.395,1.386,1.395,-0.012,-0.8529,5410104.0,752637.187
159941.SZ,20251217,1.394,1.403,1.412,1.4,1.407,0.013,0.9326,8608420.53,1210441.975
159941.SZ,20251216,1.414,1.404,1.407,1.388,1.394,-0.02,-1.4144,6714223.0,936955.218
159941.SZ,20251215,1.431,1.411,1.419,1.409,1.414,-0.017,-1.188,6936717.31,980993.288
159941.SZ,20251212,1.428,1.437,1.438,1.429,1.431,0.003,0.2101,5357023.29,767681.161
159941.SZ,20251211,1.44,1.438,1.445,1.423,1.428,-0.012,-0.8333,7874478.23,1128364.108
159941.SZ,20251210,1.432,1.431,1.446,1.427,1.44,0.008,0.5587,7905564.09,1136494.249
159941.SZ,20251209,1.453,1.448,1.449,1.431,1.432,-0.021,-1.4453,7438499.3,1068040.055
159941.SZ,20251208,1.459,1.46,1.461,1.45,1.453,-0.006,-0.4112,6449978.6,938372.681
159941.SZ,20251205,1.458,1.461,1.461,1.456,1.459,0.001,0.0686,4886552.26,712841.205
159941.SZ,20251204,1.458,1.457,1.461,1.454,1.458,0.0,0.0,5135498.52,748293.218
159941.SZ,20251203,1.44,1.45,1.463,1.449,1.458,0.018,1.25,10294062.48,1499907.177
159941.SZ,20251202,1.439,1.448,1.449,1.436,1.44,0.001,0.0695,7855435.0,1131855.501
159941.SZ,20251201,1.452,1.443,1.449,1.436,1.439,-0.013,-0.8953,9993730.38,1441268.965
159941.SZ,20251128,1.437,1.445,1.454,1.44,1.452,0.015,1.0438,5433522.92,785924.956
159941.SZ,20251127,1.443,1.453,1.454,1.437,1.437,-0.006,-0.4158,6090771.15,880539.34
159941.SZ,20251126,1.422,1.433,1.446,1.432,1.443,0.021,1.4768,8638794.37,1242234.883
159941.SZ,20251125,1.394,1.429,1.429,1.419,1.422,0.028,2.0086,8144577.38,1159794.28
159941.SZ,20251124,1.383,1.398,1.402,1.386,1.394,0.011,0.7954,6625555.0,924047.282
159941.SZ,20251121,1.427,1.37,1.387,1.368,1.383,-0.044,-3.0834,12734430.0,1757112.352
159941.SZ,20251120,1.376,1.41,1.428,1.408,1.427,0.051,3.7064,13441390.38,1904630.859
159941.SZ,20251119,1.381,1.376,1.392,1.374,1.376,-0.005,-0.3621,12393767.2,1713046.667
159941.SZ,20251118,1.428,1.406,1.413,1.379,1.381,-0.047,-3.2913,14726501.0,2052478.962
159941.SZ,20251117,1.427,1.442,1.447,1.412,1.428,0.001,0.0701,10837242.04,1558377.024
159941.SZ,20251114,1.467,1.437,1.445,1.425,1.427,-0.04,-2.7267,12359563.73,1775516.309
159941.SZ,20251113,1.472,1.468,1.469,1.463,1.467,-0.005,-0.3397,6623377.72,971420.944
159941.SZ,20251112,1.467,1.472,1.476,1.467,1.472,0.005,0.3408,8621082.56,1268673.637
159941.SZ,20251111,1.462,1.478,1.482,1.461,1.467,0.005,0.342,9508919.43,1399584.787
159941.SZ,20251110,1.435,1.449,1.463,1.447,1.462,0.027,1.8815,10742206.33,1559805.915
159941.SZ,20251107,1.451,1.427,1.444,1.422,1.435,-0.016,-1.1027,11335462.0,1625561.832
159941.SZ,20251106,1.425,1.431,1.453,1.428,1.451,0.026,1.8246,10374326.03,1497388.078
159941.SZ,20251105,1.436,1.4,1.428,1.392,1.425,-0.011,-0.766,16580659.76,2339733.019
159941.SZ,20251104,1.456,1.455,1.456,1.425,1.436,-0.02,-1.3736,10716137.77,1540776.571
159941.SZ,20251103,1.458,1.463,1.464,1.452,1.456,-0.002,-0.1372,8492034.78,1238578.933
159941.SZ,20251031,1.462,1.465,1.474,1.453,1.458,-0.004,-0.2736,10977650.05,1604341.941
159941.SZ,20251030,1.481,1.477,1.486,1.461,1.462,-0.019,-1.2829,14895661.07,2196497.515
159941.SZ,20251029,1.456,1.473,1.484,1.461,1.481,0.025,1.717,10899771.79,1604974.451
159941.SZ,20251028,1.458,1.469,1.483,1.433,1.456,-0.002,-0.1372,18874815.3,2754360.736
159941.SZ,20251027,1.43,1.446,1.462,1.445,1.458,0.028,1.958,13763391.2,2000717.897
159941.SZ,20251024,1.41,1.435,1.436,1.42,1.43,0.02,1.4184,9429018.13,1344396.46
159941.SZ,20251023,1.41,1.401,1.413,1.392,1.41,0.0,0.0,9782250.55,1373396.525
159941.SZ,20251022,1.39,1.385,1.422,1.381,1.41,0.02,1.4388,21326064.36,2998666.691
159941.SZ,20251021,1.369,1.39,1.392,1.377,1.39,0.021,1.534,10761589.54,1491577.94
159941.SZ,20251020,1.329,1.355,1.372,1.354,1.369,0.04,3.0098,13418800.05,1826383.668
159941.SZ,20251017,1.363,1.354,1.357,1.329,1.329,-0.034,-2.4945,14775792.0,1983591.275
159941.SZ,20251016,1.353,1.349,1.365,1.347,1.363,0.01,0.7391,7357019.46,996049.353
159941.SZ,20251015,1.331,1.338,1.354,1.336,1.353,0.022,1.6529,11372645.9,1530230.829
159941.SZ,20251014,1.347,1.362,1.364,1.331,1.331,-0.016,-1.1878,14588610.0,1964034.3
159941.SZ,20251013,1.366,1.334,1.353,1.333,1.347,-0.019,-1.3909,18038387.66,2414862.52
159941.SZ,20251010,1.363,1.364,1.373,1.36,1.366,0.003,0.2201,11468359.0,1566942.838
159941.SZ,20251009,1.339,1.367,1.367,1.357,1.363,0.024,1.7924,10202686.0,1389719.747
159941.SZ,20250930,1.34,1.337,1.344,1.336,1.339,-0.001,-0.0746,10239470.68,1371983.372
