ts_code,symbol,name,area,industry,cnspell,market,list_date,act_name,act_ent_type
000338.SZ,000338,潍柴动力,山东,汽车配件,WCDL,主板,2007-04-30,山东省人民政府国有资产监督管理委员会,地方国有企业
600859.SH,600859,王府井,北京,百货,WFJ,主板,1994-05-06,北京市人民政府国有资产监督管理委员会,地方国有企业
002555.SZ,002555,三七互娱,安徽,互联网,SQHY,主板,2011-03-02,李卫伟,民营企业
002432.SZ,002432,九安医疗,天津,医疗保健,JAYL,主板,2010-06-10,刘毅,民营企业
688389.SH,688389,普门科技,深圳,医疗保健,PMKJ,科创板,2019-11-05,刘先成,自然人
002668.SZ,002668,TCL智家,广东,家用电器,TCLZJ,主板,2012-04-16,李东生,民营企业
000651.SZ,000651,格力电器,广东,家用电器,GLDQ,主板,1996-11-18,无实际控制人,其他
600873.SH,600873,梅花生物,西藏,食品,MHSW,主板,1995-02-17,孟庆山,民营企业
000786.SZ,000786,北新建材,北京,其他建材,BXJC,主板,1997-06-06,中国建材集团有限公司,中央企业
600036.SH,600036,招商银行,深圳,银行,ZSYH,主板,2002-04-09,无实际控制人,其他
688516.SH,688516,奥特维,江苏,专用机械,ATW,科创板,2020-05-21,葛志勇,自然人
600008.SH,600008,首创环保,北京,水务,SCHB,主板,2000-04-27,北京市人民政府国有资产监督管理委员会,地方国有企业
603218.SH,603218,日月股份,浙江,电气设备,RYGF,主板,2016-12-28,傅明康,民营企业
688408.SH,688408,中信博,江苏,电气设备,ZXB,科创板,2020-08-28,蔡浩,自然人
301317.SZ,301317,鑫磊股份,浙江,机械基件,XLGF,创业板,2023-01-19,钟仁志,民营企业
688606.SH,688606,奥泰生物,浙江,医疗保健,ATSW,科创板,2021-03-25,高飞,自然人
603325.SH,603325,博隆技术,上海,化工机械,BLJS,主板,2024-01-10,张玲珑,民营企业
