ts_code,symbol,name,area,industry,cnspell,market,list_date,act_name,act_ent_type
000338.SZ,000338,潍柴动力,山东,汽车配件,WCDL,主板,2007-04-30,山东省人民政府国有资产监督管理委员会,地方国有企业
600859.SH,600859,王府井,北京,百货,WFJ,主板,1994-05-06,北京市人民政府国有资产监督管理委员会,地方国有企业
002555.SZ,002555,三七互娱,安徽,互联网,SQHY,主板,2011-03-02,李卫伟,民营企业
002432.SZ,002432,九安医疗,天津,医疗保健,JAYL,主板,2010-06-10,刘毅,民营企业
688389.SH,688389,普门科技,深圳,医疗保健,PMKJ,科创板,2019-11-05,刘先成,自然人
002668.SZ,002668,TCL智家,广东,家用电器,TCLZJ,主板,2012-04-16,李东生,民营企业
000651.SZ,000651,格力电器,广东,家用电器,GLDQ,主板,1996-11-18,无实际控制人,其他
600873.SH,600873,梅花生物,西藏,食品,MHSW,主板,1995-02-17,孟庆山,民营企业
000786.SZ,000786,北新建材,北京,其他建材,BXJC,主板,1997-06-06,中国建材集团有限公司,中央企业
600036.SH,600036,招商银行,深圳,银行,ZSYH,主板,2002-04-09,无实际控制人,其他
688516.SH,688516,奥特维,江苏,专用机械,ATW,科创板,2020-05-21,葛志勇,自然人
600008.SH,600008,首创环保,北京,水务,SCHB,主板,2000-04-27,北京市人民政府国有资产监督管理委员会,地方国有企业
603218.SH,603218,日月股份,浙江,电气设备,RYGF,主板,2016-12-28,傅明康,民营企业
688408.SH,688408,中信博,江苏,电气设备,ZXB,科创板,2020-08-28,蔡浩,自然人
301317.SZ,301317,鑫磊股份,浙江,机械基件,XLGF,创业板,2023-01-19,钟仁志,民营企业
688606.SH,688606,奥泰生物,浙江,医疗保健,ATSW,科创板,2021-03-25,高飞,自然人
603325.SH,603325,博隆技术,上海,化工机械,BLJS,主板,2024-01-10,张玲珑,民营企业
000681.SZ,000681,视觉中国,江苏,互联网,SJZG,主板,1997-01-21,吴玉瑞,民营企业
600489.SH,600489,中金黄金,北京,黄金,ZJHJ,主板,2003-08-14,国务院国有资产监督管理委员会,中央企业
688687.SH,688687,凯因科技,北京,生物制药,KYKJ,科创板,2021-02-08,周德胜,自然人
603658.SH,603658,安图生物,河南,医疗保健,ATSW,主板,2016-09-01,苗拥军,民营企业
002594.SZ,002594,比亚迪,深圳,汽车整车,BYD,主板,2011-06-30,王传福,民营企业
688588.SH,688588,凌志软件,江苏,软件服务,LZRJ,科创板,2020-05-11,张宝泉,自然人
689009.SH,689009,九号公司-WD,北京,摩托车,JHGS,科创板,2020-10-29,王野,自然人
605266.SH,605266,健之佳,云南,医药商业,JZJ,主板,2020-12-01,蓝波,民营企业
688293.SH,688293,奥浦迈,上海,生物制药,APM,科创板,2022-09-02,肖志华,自然人
600015.SH,600015,华夏银行,北京,银行,HXYH,主板,2003-09-12,无实际控制人,其他
600016.SH,600016,民生银行,北京,银行,MSYH,主板,2000-12-19,无实际控制人,其他
002415.SZ,002415,海康威视,浙江,IT设备,HKWS,主板,2010-05-28,国务院国有资产监督管理委员会,中央企业
688315.SH,688315,诺禾致源,北京,医疗保健,NHZY,科创板,2021-04-13,李瑞强,自然人
