ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688111.SH,20251231,305.87,311.11,303.73,307.07,304.94,2.13,0.6985,57239.89,1763084.896
600028.SH,20251231,6.16,6.25,6.14,6.18,6.16,0.02,0.3247,1584879.87,981026.183
600030.SH,20251231,28.8,29.07,28.68,28.71,28.83,-0.12,-0.4162,856347.53,2470416.84
601318.SH,20251231,68.78,69.23,68.15,68.4,68.8,-0.4,-0.5814,458068.69,3141993.177
601328.SH,20251231,7.25,7.3,7.23,7.25,7.24,0.01,0.1381,856328.34,621381.356
601899.SH,20251231,33.48,35.36,33.39,34.47,33.42,1.05,3.1418,3411882.18,11802518.174
688981.SH,20251231,125.99,126.2,122.4,122.83,125.28,-2.45,-1.9556,411586.85,5082728.445
600031.SH,20251231,21.11,21.25,20.93,21.13,21.04,0.09,0.4278,403597.13,852648.571
601988.SH,20251231,5.66,5.76,5.66,5.73,5.67,0.06,1.0582,3023692.71,1728942.716
601985.SH,20251231,8.67,8.68,8.63,8.65,8.67,-0.02,-0.2307,414604.09,358375.543
600036.SH,20251231,42.24,42.33,41.92,42.1,42.28,-0.18,-0.4257,554142.39,2335536.695
603259.SH,20251231,91.9,93.79,90.64,90.64,91.9,-1.26,-1.3711,419165.89,3863086.989
600050.SH,20251231,5.08,5.12,5.08,5.11,5.09,0.02,0.3929,1077673.18,549984.8
601658.SH,20251231,5.45,5.48,5.43,5.45,5.46,-0.01,-0.1832,1076404.0,587212.337
601857.SH,20251231,10.26,10.47,10.26,10.41,10.25,0.16,1.561,1705610.58,1771227.332
601888.SH,20251231,90.57,95.66,88.88,94.56,90.21,4.35,4.8221,831461.68,7700568.73
600104.SH,20251231,15.36,15.49,15.22,15.22,15.35,-0.13,-0.8469,344617.63,527406.618
601919.SH,20251231,15.26,15.39,15.15,15.18,15.27,-0.09,-0.5894,414446.31,631912.146
601668.SH,20251231,5.16,5.17,5.13,5.13,5.16,-0.03,-0.5814,1401278.33,721085.588
601728.SH,20251231,6.24,6.31,6.24,6.3,6.24,0.06,0.9615,959263.54,602750.469
600111.SH,20251231,45.95,46.85,45.7,46.12,45.97,0.15,0.3263,710915.48,3290453.519
600150.SH,20251231,33.27,33.56,33.17,33.26,33.26,0.0,0.0,392237.63,1307086.19
600276.SH,20251231,60.16,60.36,59.5,59.57,60.18,-0.61,-1.0136,268278.96,1603948.702
600309.SH,20251231,76.8,77.43,76.09,76.68,77.0,-0.32,-0.4156,164028.35,1257774.024
601601.SH,20251231,41.9,42.68,41.46,41.91,41.91,0.0,0.0,293032.76,1232261.011
603501.SH,20251231,127.03,127.5,125.83,125.9,126.8,-0.9,-0.7098,89263.0,1127575.342
603019.SH,20251231,85.41,87.0,84.58,85.64,85.39,0.25,0.2928,427985.28,3666829.109
600406.SH,20251231,22.6,22.62,22.41,22.48,22.58,-0.1,-0.4429,245954.31,553094.798
600519.SH,20251231,1390.0,1394.0,1377.17,1377.18,1389.72,-12.54,-0.9023,34765.63,4799456.452
600690.SH,20251231,26.54,26.84,26.01,26.09,26.54,-0.45,-1.6956,435736.82,1142128.402
603993.SH,20251231,19.51,20.47,19.38,20.0,19.52,0.48,2.459,2503816.67,5017376.582
600760.SH,20251231,56.21,57.48,55.97,56.15,56.45,-0.3,-0.5314,170040.69,959698.661
600809.SH,20251231,172.58,173.86,171.16,171.7,173.05,-1.35,-0.7801,36455.42,626782.115
600887.SH,20251231,28.77,28.88,28.56,28.6,28.69,-0.09,-0.3137,266727.02,764372.855
688008.SH,20251231,121.0,121.1,117.72,117.8,119.91,-2.11,-1.7597,197500.88,2347258.375
688256.SH,20251231,1426.0,1432.0,1348.16,1355.55,1415.8,-60.25,-4.2555,70267.42,9747441.408
