stock_name,stock_code,trade_date,open,close,high,low,volume
中微公司,688012.SH,2025/11/6 10:30,297.66,299,302.54,293.61,68237
中微公司,688012.SH,2025/11/6 11:30,298.89,307.5,313.66,298.89,75546
中微公司,688012.SH,2025/11/6 14:00,307.5,309.88,310.07,305.24,21937
中微公司,688012.SH,2025/11/6 15:00,310,306,310.22,306,25754
中微公司,688012.SH,2025/11/7 10:30,302.59,308,316,301.2,80104
中微公司,688012.SH,2025/11/7 11:30,308,313.25,314.8,307.35,24724
中微公司,688012.SH,2025/11/7 14:00,313.25,310.27,315.98,309.73,24554
中微公司,688012.SH,2025/11/7 15:00,310.53,309.14,311,308.5,22546
中微公司,688012.SH,2025/11/10 10:30,313.1,324.43,329.89,313.1,109446
中微公司,688012.SH,2025/11/10 11:30,324.9,309.11,325.01,308.86,33917
中微公司,688012.SH,2025/11/10 14:00,309.11,311.61,315,308.88,24807
中微公司,688012.SH,2025/11/10 15:00,311.57,316.43,319,310.88,27878
中微公司,688012.SH,2025/11/11 10:30,320,310.47,324.8,306,84115
中微公司,688012.SH,2025/11/11 11:30,310.47,312.52,315.65,309.3,17864
中微公司,688012.SH,2025/11/11 14:00,312,306.54,313,306.35,21084
中微公司,688012.SH,2025/11/11 15:00,306.54,306.1,309.41,306,28219
中微公司,688012.SH,2025/11/12 10:30,305,310.33,314.88,296.99,68044
中微公司,688012.SH,2025/11/12 11:30,310.78,299.68,310.78,299.61,18450
中微公司,688012.SH,2025/11/12 14:00,299.68,303.44,304.72,297.9,22751
中微公司,688012.SH,2025/11/12 15:00,303.26,302.75,307,302.09,22692
中微公司,688012.SH,2025/11/13 10:30,304,302.94,309.83,299.58,39817
中微公司,688012.SH,2025/11/13 11:30,303,304.62,304.73,299.85,16242
中微公司,688012.SH,2025/11/13 14:00,305,301.15,305,301.11,18990
中微公司,688012.SH,2025/11/13 15:00,301.2,303.52,303.52,299.58,22895
中微公司,688012.SH,2025/11/14 10:30,296,300.01,301.77,292.55,45348
中微公司,688012.SH,2025/11/14 11:30,300.22,298.24,304.06,298.08,13945
中微公司,688012.SH,2025/11/14 14:00,298.24,298.2,298.5,295.55,14043
中微公司,688012.SH,2025/11/14 15:00,298.2,294.02,299.26,293.81,22067
中国石化,600028.SH,2025/11/17 10:30,5.75,5.76,5.77,5.7,822538
中信证券,600030.SH,2025/11/17 10:30,28.61,28.39,28.61,28.36,423738
三一重工,600031.SH,2025/11/17 10:30,20.64,20.46,20.64,20.45,152116
招商银行,600036.SH,2025/11/17 10:30,43.1,42.58,43.2,42.5,264880
保利发展,600048.SH,2025/11/17 10:30,7.24,7.23,7.26,7.23,270635
中国联通,600050.SH,2025/11/17 10:30,5.41,5.39,5.43,5.39,865593
中国船舶,600150.SH,2025/11/17 10:30,34.8,34.83,35.18,34.8,516664
恒瑞医药,600276.SH,2025/11/17 10:30,62.89,61.83,63.05,61.82,140438
万华化学,600309.SH,2025/11/17 10:30,65.08,65.36,66.68,65.08,117438
国电南瑞,600406.SH,2025/11/17 10:30,23.77,23.5,23.85,23.41,198308
贵州茅台,600519.SH,2025/11/17 10:30,1430.04,1438.04,1440.03,1421.83,14708
海尔智家,600690.SH,2025/11/17 10:30,26.92,26.68,27.02,26.42,125964
中航沈飞,600760.SH,2025/11/17 10:30,61.49,61.24,62.3,60.85,282192
山西汾酒,600809.SH,2025/11/17 10:30,196.6,199.24,199.65,194.39,23654
伊利股份,600887.SH,2025/11/17 10:30,27.86,27.95,27.98,27.64,152846
长江电力,600900.SH,2025/11/17 10:30,28.37,28.13,28.43,28.03,402501
中国移动,600941.SH,2025/11/17 10:30,107.05,106.44,107.21,106.2,43232
隆基绿能,601012.SH,2025/11/17 10:30,22,21.36,22.1,21.31,1298032
中国神华,601088.SH,2025/11/17 10:30,42.06,42.12,42.18,41.52,78741
赛力斯,601127.SH,2025/11/17 10:30,134,133.28,134.31,132.88,67628
兴业银行,601166.SH,2025/11/17 10:30,21.56,21.34,21.67,21.28,449242
国泰海通,601211.SH,2025/11/17 10:30,19.67,19.41,19.69,19.39,318735
陕西煤业,601225.SH,2025/11/17 10:30,23.65,23.87,23.94,23.5,101596
农业银行,601288.SH,2025/11/17 10:30,8.33,8.31,8.38,8.19,1541334
中国平安,601318.SH,2025/11/17 10:30,60.69,59.7,61,59.46,282347
交通银行,601328.SH,2025/11/17 10:30,7.34,7.26,7.35,7.24,821182
工商银行,601398.SH,2025/11/17 10:30,8.11,8.06,8.12,7.97,1345479
中国铝业,601600.SH,2025/11/17 10:30,11.41,11.22,11.49,11.15,2331037
中国太保,601601.SH,2025/11/17 10:30,36.2,35.53,36.26,35.4,147465
中国人寿,601628.SH,2025/11/17 10:30,44.15,43.26,44.27,42.99,56421
邮储银行,601658.SH,2025/11/17 10:30,5.82,5.72,5.83,5.71,1141255
中国建筑,601668.SH,2025/11/17 10:30,5.41,5.37,5.42,5.37,1248291
中国电信,601728.SH,2025/11/17 10:30,6.8,6.76,6.81,6.75,327664
中国中车,601766.SH,2025/11/17 10:30,7.63,7.55,7.64,7.54,297769
京沪高铁,601816.SH,2025/11/17 10:30,5.24,5.2,5.25,5.2,474813
中国石油,601857.SH,2025/11/17 10:30,9.82,9.89,9.91,9.66,654098
中国中免,601888.SH,2025/11/17 10:30,87.35,87.23,89.95,87.14,260334
紫金矿业,601899.SH,2025/11/17 10:30,29.73,29.34,29.92,29.26,796963
中远海控,601919.SH,2025/11/17 10:30,15.31,15.07,15.35,15.01,397776
中国核电,601985.SH,2025/11/17 10:30,8.9,8.81,8.92,8.8,541276
中国银行,601988.SH,2025/11/17 10:30,5.71,5.65,5.72,5.58,1827631
药明康德,603259.SH,2025/11/17 10:30,95,93.16,95,92.9,138754
豪威集团,603501.SH,2025/11/17 10:30,121.72,121.53,122.51,121.38,32834
洛阳钼业,603993.SH,2025/11/17 10:30,16.5,16.34,16.65,16.21,912694
澜起科技,688008.SH,2025/11/17 10:30,121.28,121.69,123.8,121.28,84926
中微公司,688012.SH,2025/11/17 10:30,294.03,289.16,301.99,288.75,53309
海光信息,688041.SH,2025/11/17 10:30,213.8,214.72,217.88,213.31,66497
金山办公,688111.SH,2025/11/17 10:30,310.2,311.5,316.22,310.03,20053
寒武纪-U,688256.SH,2025/11/17 10:30,1316.95,1329,1342.01,1316.95,18962
中芯国际,688981.SH,2025/11/17 10:30,116.82,117.73,119.29,116.81,194804
中国石化,600028.SH,2025/11/17 11:30,5.77,5.79,5.8,5.76,442104
中信证券,600030.SH,2025/11/17 11:30,28.39,28.4,28.46,28.37,145642
三一重工,600031.SH,2025/11/17 11:30,20.46,20.51,20.59,20.41,80138
招商银行,600036.SH,2025/11/17 11:30,42.58,42.72,42.73,42.55,85366
保利发展,600048.SH,2025/11/17 11:30,7.23,7.26,7.27,7.23,149371
中国联通,600050.SH,2025/11/17 11:30,5.39,5.41,5.41,5.39,330920
中国船舶,600150.SH,2025/11/17 11:30,34.83,34.71,34.9,34.66,98879
恒瑞医药,600276.SH,2025/11/17 11:30,61.82,61.77,61.95,61.72,53584
万华化学,600309.SH,2025/11/17 11:30,65.36,67,67.68,65.33,106877
国电南瑞,600406.SH,2025/11/17 11:30,23.5,23.54,23.65,23.44,55229
贵州茅台,600519.SH,2025/11/17 11:30,1438.04,1441.15,1445.95,1436.32,6772
海尔智家,600690.SH,2025/11/17 11:30,26.67,26.57,26.74,26.56,28447
中航沈飞,600760.SH,2025/11/17 11:30,61.24,60.27,61.27,60.18,60307
山西汾酒,600809.SH,2025/11/17 11:30,199.24,201.05,203.58,199,20914
