ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
600028.SH,20251231,6.18,5.79,6.25,5.77,5.79,0.39,0.0674,661079028.0,4020601108.0
600030.SH,20251231,28.71,29.03,29.14,28.68,29.1,-0.39,-0.0134,261740643.0,7562370175.0
600031.SH,20251231,21.13,21.18,21.35,20.65,21.17,-0.04,-0.0019,180490465.0,3791323320.0
600036.SH,20251231,42.1,41.66,42.48,41.42,41.7,0.4,0.0096,207147637.0,8706643929.0
600050.SH,20251231,5.11,5.13,5.14,5.07,5.14,-0.03,-0.0058,361656693.0,1845609554.0
600104.SH,20251231,15.22,15.5,15.52,15.22,15.49,-0.27,-0.0174,102598508.0,1575020379.0
600111.SH,20251231,46.12,46.26,46.9,44.88,46.11,0.01,0.0002,200750363.0,9258545584.0
600150.SH,20251231,33.26,33.66,33.88,33.17,33.68,-0.42,-0.0125,111735278.0,3738152669.0
600276.SH,20251231,59.57,61.06,61.27,59.5,61.06,-1.49,-0.0244,80733519.0,4866948613.0
600309.SH,20251231,76.68,76.92,77.99,75.02,76.98,-0.3,-0.0039,64411228.0,4932734956.0
600406.SH,20251231,22.48,22.8,22.97,22.41,22.77,-0.29,-0.0127,96890834.0,2195616624.0
600519.SH,20251231,1377.18,1414.13,1414.13,1377.17,1414.13,-36.95,-0.0261,9486567.0,13196606372.0
600690.SH,20251231,26.09,26.88,27.01,26.01,26.74,-0.65,-0.0243,102924833.0,2721302781.0
600760.SH,20251231,56.15,57.04,57.8,55.82,56.63,-0.48,-0.0085,63525433.0,3598149693.0
600809.SH,20251231,171.7,176.82,177.16,171.16,177.7,-6.0,-0.0338,12942921.0,2249424040.0
600887.SH,20251231,28.6,29.09,29.11,28.56,29.1,-0.5,-0.0172,103635132.0,2980873393.0
600900.SH,20251231,27.19,27.64,27.64,27.17,27.64,-0.45,-0.0163,215621060.0,5901762591.0
600930.SH,20251231,6.29,6.35,6.35,6.28,6.36,-0.07,-0.011,123288674.0,778556316.0
601012.SH,20251231,18.2,19.03,19.18,18.17,19.02,-0.82,-0.0431,353321056.0,6572113594.0
601088.SH,20251231,40.5,40.07,40.65,40.0,40.07,0.43,0.0107,67273717.0,2711144630.0
601127.SH,20251231,120.96,120.66,125.3,119.58,120.67,0.29,0.0024,50740629.0,6179039028.0
601166.SH,20251231,21.06,21.16,21.46,21.03,21.14,-0.08,-0.0038,194339362.0,4121490689.0
601211.SH,20251231,20.55,20.73,20.99,20.48,20.76,-0.21,-0.0101,195776337.0,4045531737.0
601225.SH,20251231,21.32,21.58,22.03,21.1,21.58,-0.26,-0.012,87048777.0,1872839377.0
601288.SH,20251231,7.68,7.49,7.7,7.47,7.51,0.17,0.0226,799264403.0,6076106780.0
601318.SH,20251231,68.4,71.0,71.66,68.15,71.16,-2.76,-0.0388,216040759.0,14991341793.0
601328.SH,20251231,7.25,7.21,7.38,7.18,7.22,0.03,0.0042,363962234.0,2650437763.0
601398.SH,20251231,7.93,7.81,7.96,7.77,7.81,0.12,0.0154,766046029.0,6021925956.0
601601.SH,20251231,41.91,42.05,43.2,41.36,42.33,-0.42,-0.0099,91269181.0,3847995035.0
601628.SH,20251231,45.5,46.4,47.22,45.0,46.68,-1.18,-0.0253,39380485.0,1804075609.0
601658.SH,20251231,5.45,5.4,5.49,5.37,5.4,0.05,0.0093,399357043.0,2174463450.0
601668.SH,20251231,5.13,5.19,5.26,5.13,5.19,-0.06,-0.0116,513855856.0,2663729381.0
601728.SH,20251231,6.3,6.41,6.42,6.22,6.42,-0.12,-0.0187,395904406.0,2493532252.0
601816.SH,20251231,5.15,5.22,5.24,5.15,5.22,-0.07,-0.0134,274026628.0,1422469072.0
601857.SH,20251231,10.41,9.84,10.47,9.81,9.85,0.56,0.0569,511949914.0,5227096630.0
601888.SH,20251231,94.56,93.0,95.66,88.88,92.3,2.26,0.0245,196885325.0,18080413096.0
601899.SH,20251231,34.47,34.16,35.36,31.53,33.53,0.94,0.028,942544582.0,31705125783.0
601919.SH,20251231,15.18,15.23,15.45,15.07,15.24,-0.06,-0.0039,140204055.0,2136797564.0
601985.SH,20251231,8.65,8.77,8.78,8.63,8.77,-0.12,-0.0137,149044824.0,1294059112.0
601988.SH,20251231,5.73,5.61,5.76,5.59,5.61,0.12,0.0214,791819046.0,4493835153.0
603019.SH,20251231,85.64,85.81,87.0,84.58,85.81,-0.17,-0.002,125852472.0,10797870711.0
603259.SH,20251231,90.64,92.63,93.79,90.52,92.7,-2.06,-0.0222,101068282.0,9305428027.0
603501.SH,20251231,125.9,128.84,129.43,125.83,128.84,-2.94,-0.0228,33339492.0,4240121766.0
603993.SH,20251231,20.0,20.06,20.47,18.21,19.75,0.25,0.0127,821859535.0,16034561144.0
688008.SH,20251231,117.8,120.88,122.59,117.72,120.88,-3.08,-0.0255,70046900.0,8402605372.0
688041.SH,20251231,224.41,216.88,231.2,216.79,217.6,6.81,0.0313,59679339.0,13382646410.0
688111.SH,20251231,307.07,301.0,311.11,298.1,301.74,5.33,0.0177,14173574.0,4317551798.0
688256.SH,20251231,1355.55,1309.97,1439.0,1308.0,1303.89,51.66,0.0396,25997371.0,36030720964.0
688981.SH,20251231,122.83,123.0,126.69,122.02,122.1,0.73,0.006,152337677.0,18945345651.0
600028.SH,20251226,5.79,5.9,5.95,5.78,5.89,-0.1,-0.017,584050119.0,3432383116.0
600030.SH,20251226,29.1,28.62,29.4,28.55,28.68,0.42,0.0146,494195260.0,14271552328.0
600031.SH,20251226,21.17,21.3,21.38,20.44,21.24,-0.07,-0.0033,245823142.0,5131151467.0
600036.SH,20251226,41.7,42.08,42.13,41.55,41.99,-0.29,-0.0069,267557833.0,11192391259.0
